SYSTEM:task_id	INPUT:name	INPUT:playlist-1	INPUT:playlist-2	INPUT:playlist-3	INPUT:track	OUTPUT:result	CONFIDENCE:result	GOLDEN:result	
00023065ac--638f7edab269e52197e9843d	Miyagi & Эндшпиль.Silhouette	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/108315330	no	99.99%	no	
00023065ac--638f7edab269e52197e9843e	GOARTUR.Иностранец	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/107480583	yes	100.00%	yes	
00023065ac--638f7edab269e52197e9843f	ONEIL, ORGAN, TITOV, FAVIA.ULETAY	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/107951067	yes	0.00%	no	
00023065ac--638f7edab269e52197e98440	DJ SMASH, NIVESTA.Позвони	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/107314429	yes	99.99%	yes	
00023065ac--638f7edab269e52197e98441	Леонид Агутин, JONY.Мир зеленого цвета	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/108661621	yes	99.99%	yes	
00023065ac--638f7edab269e52197e98442	Noize MC.Страна дождей	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/108114693	no	99.99%	no	
00023065ac--638f7edab269e52197e98443	Alex Menco.Next	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/108466036	no	99.99%	no	
00023065ac--638f7edab269e52197e98444	Люся Чеботина.ПЛАКАЛ ГОЛЛИВУД	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/106339740	no	100.00%	no	
00023065ac--638f7edab269e52197e98445	ANNA ASTI.По барам	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/104964266	no	100.00%	no	
00023065ac--638f7edab269e52197e98446	MACAN.Плачь, но не звони	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/108103901	no	99.99%	no	
00023065ac--638f7edab269e52197e98447	Galibri & Mavik.Федерико Феллини	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/81848875	no	100.00%	no	
00023065ac--638f7edab269e52197e98448	Miyagi & Эндшпиль.Временно	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/108315321	no	100.00%	no	
00023065ac--638f7edab269e52197e98449	Markul, Тося Чайкина.Стрелы	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/106246540	no	99.19%	yes	
00023065ac--638f7edab269e52197e9844a	Баста.Вечно молодой	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/108549701	yes	100.00%	yes	
00023065ac--638f7edab269e52197e9844b	Lofi Fruits Music, Chill Fruits Music.Take Me To Church	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/88556565	yes	99.99%	yes	
00023065ac--638f7edab269e52197e9844c	Нодар Ревия.Аэропорты	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/106577846	yes	100.00%	yes	
00023065ac--638f7edab269e52197e9844d	Amirchik.Эта любовь	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/105944312	no	100.00%	no	
