INPUT:name	INPUT:playlist-1	INPUT:playlist-2	INPUT:playlist-3	INPUT:track	OUTPUT:result	CONFIDENCE:result	
Ваня Дмитриенко.31-я весна	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/108470485	yes	99.99%	
ANNA ASTI.По барам	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/104964266	no	99.95%	
Yves V, Ilkay Sencan, Emie.Not So Bad	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/61288362	yes	99.99%	
CHEBANOV.Люби меня, люби	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/109274714	yes	100.00%	
Markul, Тося Чайкина.Стрелы	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/106246540	no	99.99%	
Alex Menco.Next	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/108466036	no	100.00%	
Miyagi & Эндшпиль.Временно	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/108315321	no	99.99%	
ONEIL, ORGAN, TITOV, FAVIA.ULETAY	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/107951067	yes	100.00%	
Люся Чеботина.ПЛАКАЛ ГОЛЛИВУД	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/106339740	no	99.99%	
Miyagi & Эндшпиль.Silhouette	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/108315330	no	99.99%	
Нодар Ревия.Аэропорты	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/106577846	yes	100.00%	
Noize MC.Страна дождей	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/108114693	no	99.99%	
Леонид Агутин, JONY.Мир зеленого цвета	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/108661621	yes	99.99%	
Galibri & Mavik.Федерико Феллини	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/81848875	no	99.94%	
MACAN.Плачь, но не звони	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/108103901	no	99.99%	
Amirchik.Эта любовь	https://music.yandex.ru/users/music-blog/playlists/2392	https://music.yandex.ru/users/music.partners/playlists/1965	https://music.yandex.ru/users/music-blog/playlists/2141	https://music.yandex.ru/track/105944312	no	99.99%	
